"","Portfolio Manager Property ID","Property GFA - Self-Reported (m²)","Electricity Use - Grid Purchase (kWh)","Primary Property Type - Self Selected","ID","Area","kWh","Property_Type","log_Area"
"1",28032914,1962,"Not Available","Office",28032914,1962,NA,"Office",7.58171964012531
"2",28032915,2395,"610692.1","Police Station",28032915,2395,610692.1,"Police Station",7.78113850984502
"3",28032916,1890,"476138.1","Police Station",28032916,1890,476138.1,"Police Station",7.54433210805369
"4",28032918,2248,"Not Available","Office",28032918,2248,NA,"Office",7.71779621101358
"5",28032930,2170,"413904.1","Police Station",28032930,2170,413904.1,"Police Station",7.68248244653451
"6",28032931,2185,"544079.69999999995","Police Station",28032931,2185,544079.7,"Police Station",7.68937110752969
"7",28032934,40,"9469.2999999999993","Other - Public Services",28032934,40,9469.3,"Other - Public Services",3.68887945411394
"8",28032938,221.4,"Not Available","Other - Public Services",28032938,221.4,NA,"Other - Public Services",5.39997102027454
"9",28032941,250,"Not Available","Other - Public Services",28032941,250,NA,"Other - Public Services",5.52146091786225
"10",28032943,1783.7,"76707.199999999997","Other - Lodging/Residential",28032943,1783.7,76707.2,"Other - Lodging/Residential",7.48644513756426
"11",28032947,815.2,"3104.1","Other - Public Services",28032947,815.2,3104.1,"Other - Public Services",6.70343348190852
"12",28032948,442,"Not Available","Other - Public Services",28032948,442,NA,"Other - Public Services",6.0913098820777
"13",28032950,277,"Not Available","Other - Public Services",28032950,277,NA,"Other - Public Services",5.62401750618734
"14",28032951,836.1,"148038.29999999999","Other - Lodging/Residential",28032951,836.1,148038.3,"Other - Lodging/Residential",6.72874822315601
"15",28032960,313,"Not Available","Other - Public Services",28032960,313,NA,"Other - Public Services",5.74620319054015
"16",28032961,244,"Not Available","Other - Public Services",28032961,244,NA,"Other - Public Services",5.4971682252932
"17",28032969,982,"Not Available","Other - Public Services",28032969,982,NA,"Other - Public Services",6.88959130835447
"18",28032976,339.2,"Not Available","Other - Public Services",28032976,339.2,NA,"Other - Public Services",5.82658990391775
