Data Request:BPS Energy Report Request Template,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42,...43,...44,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54,...55,...56,...57,...58,...59,...60,...61,...62,...63,...64,...65,...66,...67,...68,...69,...70,...71,...72,...73,...74,...75,...76,...77,...78,...79,...80,...81,...82,...83,...84,...85,...86,...87,...88,...89,...90,...91,...92,...93,...94,...95,...96,...97
Date Downloaded: 07/04/2023 10:19 AM EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Date Generated: 06/29/2023 12:37 PM EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Number of properties in report: 1,797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Portfolio Manager Property ID,Property Name,Portfolio Manager Parent Property ID,Parent Property Name,Year Ending,Address 1,City,Postal Code,Property GFA - Self-Reported (m²),Primary Property Type - Self Selected,Number of Buildings,Custom Property ID 1 - ID,Custom Property ID 1 - Name,Custom Property ID 2 - ID,Custom Property ID 2 - Name,Custom Property ID 3 - ID,Custom Property ID 3 - Name,Electricity Use - Grid Purchase (kWh),Electricity Use - Grid Purchase (GJ),Natural Gas Use (therms),Natural Gas Use (GJ),Fuel Oil #1 Use (GJ),Fuel Oil #2 Use (GJ),Fuel Oil #4 Use (GJ),Fuel Oil #5 & 6 Use (GJ),Diesel #2 Use (GJ),Kerosene Use (GJ),Propane Use (GJ),District Steam Use (GJ),District Hot Water Use (GJ),District Chilled Water Use (GJ),Wood Use (GJ),Data Quality Checker Run?,Data Quality Checker - Date Run,Site Energy Use (GJ),Source Energy Use (GJ),Site EUI (GJ/m²),Source EUI (GJ/m²),Weather Normalized Source Energy Use (GJ),Weather Normalized Site EUI (GJ/m²),Weather Normalized Source EUI (GJ/m²),Total (Location-Based) GHG Emissions (Metric Tons CO2e),Total (Location-Based) GHG Emissions Intensity (kgCO2e/m²),Adult Education - Weekly Operating Hours,Ambulatory Surgical Center - Weekly Operating Hours,College/University - Weekly Operating Hours,Convention Center - Weekly Operating Hours,Distribution Center - Weekly Operating Hours,Drinking Water Treatment & Distribution - Average Flow (m³PD),Fire Station - Weekly Operating Hours,Fitness Center/Health Club/Gym - Weekly Operating Hours,Laboratory - Weekly Operating Hours,Library - Weekly Operating Hours,Lifestyle Center - Weekly Operating Hours,Medical Office - Weekly Operating Hours,Museum - Weekly Operating Hours,Non-Refrigerated Warehouse - Weekly Operating Hours,Office - Weekly Operating Hours,Other - Education - Weekly Operating Hours,Other - Entertainment/Public Assembly - Weekly Operating Hours,Other - Lodging/Residential - Weekly Operating Hours,Other - Public Services - Weekly Operating Hours,Other - Recreation - Weekly Operating Hours,Other - Services - Weekly Operating Hours,Other - Specialty Hospital - Weekly Operating Hours,Other - Technology/Science - Weekly Operating Hours,Other - Utility - Weekly Operating Hours,Outpatient Rehabilitation/Physical Therapy - Weekly Operating Hours,Performing Arts - Weekly Operating Hours,Police Station - Weekly Operating Hours,Pre-school/Daycare - Weekly Operating Hours,Refrigerated Warehouse - Weekly Operating Hours,Roller Rink - Weekly Operating Hours,Self-Storage Facility - Weekly Operating Hours,Social/Meeting Hall - Weekly Operating Hours,Transportation Terminal/Station - Weekly Operating Hours,Urgent Care/Clinic/Other Outpatient - Weekly Operating Hours,Veterinary Office - Weekly Operating Hours,Vocational School - Weekly Operating Hours,Wastewater Treatment Plant - Average Influent Flow (m³PD),Zoo - Weekly Operating Hours,Alert - Gross Floor Area is 0 ft2,Alert - Property has no uses,Alert - Energy Meter has overlaps,Alert - Energy - No meters selected for metrics,Address 2,Alert - Energy Meter has less than 12 full calendar months of data,Last Modified Date - Property,Weather Normalized Site Energy Use (GJ),List of All Property Use Types (GFA) (m²),Largest Property Use Type,Report Submitted On Behalf Of - Name,Report Submitted On Behalf Of - Organization,Report Submitted On Behalf Of - Phone,Report Submitted On Behalf Of - Email,Report Generation Date,Report Submission Date
28032913,#11 Police Division,Not Applicable: Standalone Property,Not Applicable: Standalone Property,44561,2054 DAVENPORT RD,Toronto,M6N 1C8,5760,Police Station,1,City of Toronto,Organization Name,Municipality,Sub-sector,168,Weekly average hours,1047601.6,3771.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Ok,Ok,Ok,Not Available,Possible Issue,06/29/2023 11:13 AM EDT,Not Available,Police Station (5760.0),Police Station,City of Toronto Municipal,City of Toronto,000-000-0000,bpssupport@ontario.ca,45106.524380462964,45106.526030092595
28032914,#11 Police Division - OLD,Not Applicable: Standalone Property,Not Applicable: Standalone Property,44561,209 MAVETY ST,Toronto,M6P 2M1,1962,Office,1,City of Toronto,Organization Name,Municipality,Sub-sector,100,Weekly average hours,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,65,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Ok,Ok,Ok,Not Available,Possible Issue,06/29/2023 11:13 AM EDT,Not Available,Office (1962.0),Office,City of Toronto Municipal,City of Toronto,000-000-0000,bpssupport@ontario.ca,45106.524288819448,45106.526030092595
28032915,#12 Police Division,Not Applicable: Standalone Property,Not Applicable: Standalone Property,44561,200 TRETHEWEY DR,Toronto,M6M 5E6,2395,Police Station,1,City of Toronto,Organization Name,Municipality,Sub-sector,168,Weekly average hours,610692.1,2198.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Ok,Ok,Ok,Not Available,Possible Issue,06/29/2023 11:13 AM EDT,Not Available,Police Station (2395.0),Police Station,City of Toronto Municipal,City of Toronto,000-000-0000,bpssupport@ontario.ca,45106.524338171293,45106.526030092595
28032916,#13 Police Division,Not Applicable: Standalone Property,Not Applicable: Standalone Property,44561,1435 EGLINTON AVE W,Toronto,M6C 3Z4,1890,Police Station,1,City of Toronto,Organization Name,Municipality,Sub-sector,168,Weekly average hours,476138.1,1714,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Ok,Ok,Ok,Not Available,Possible Issue,06/29/2023 11:13 AM EDT,Not Available,Police Station (1890.0),Police Station,City of Toronto Municipal,City of Toronto,000-000-0000,bpssupport@ontario.ca,45106.52433605324,45106.526030092595
28032917,#14 Police Division,Not Applicable: Standalone Property,Not Applicable: Standalone Property,44561,350 DOVERCOURT RD,Toronto,M6J 2C2,5964.4,Police Station,1,City of Toronto,Organization Name,Municipality,Sub-sector,168,Weekly average hours,1078432.3,3882.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Ok,Ok,Ok,Not Available,Possible Issue,06/29/2023 11:13 AM EDT,Not Available,Police Station (5964.4),Police Station,City of Toronto Municipal,City of Toronto,000-000-0000,bpssupport@ontario.ca,45106.524326539351,45106.526030092595
